k,allowed_size,density,geno_ns_per_id,geno_repairs_per_id,rejection_trials_per_id,rejection_measured,rejection_ns_per_id,speedup_vs_geno
1,128,0.5,614.1,0.495,1.96,true,42.2,1.96
1,64,0.25,1628.2,0.75,4.11,true,87.6,4.11
1,32,0.125,684.1,0.879,8.25,true,128.2,8.25
1,16,0.0625,604,0.935,15.03,true,208.4,15.03
1,8,0.03125,474.3,0.969,32.08,true,321.2,32.08
1,4,0.015625,934.5,0.985,58.11,true,704,58.11
1,2,0.0078125,892.5,0.993,136.6,true,1930.4,136.6
1,1,0.00390625,475.6,0.997,263.1,true,2088,263.1
2,128,0.5,2232.7,1,4.032,true,111.4,4.032
2,64,0.25,1639.1,1.497,15.42,true,412,10.3
2,32,0.125,989.5,1.757,67.48,true,912.8,38.4
2,16,0.0625,1703.8,1.863,235.1,true,4513.8,126.2
2,8,0.03125,1180.4,1.937,1002,true,14622.2,517.4
2,4,0.015625,1498.5,1.969,4077,true,69017,2071
2,2,0.0078125,991.6,1.984,17690,true,221824.8,8918
2,1,0.00390625,981.7,1.992,65540,false,,32900
3,128,0.5,2640.1,1.496,7.534,true,338.4,5.035
3,64,0.25,2313.3,2.23,64.85,true,1878.2,29.08
3,32,0.125,2357,2.634,482.5,true,8042.6,183.2
3,16,0.0625,1727,2.812,4136,true,78031.8,1471
3,8,0.03125,2118.8,2.905,32770,false,,11280
3,4,0.015625,2403.9,2.952,262100,false,,88790
3,2,0.0078125,2005.9,2.976,2097000,false,,704700
3,1,0.00390625,1908.5,2.988,16780000,false,,5615000
4,128,0.5,3213.3,2.002,15.18,true,566.2,7.583
4,64,0.25,2772.6,2.985,274,true,6502.8,91.8
4,32,0.125,1987.6,3.51,3959,true,62967.8,1128
4,16,0.0625,2359.3,3.754,65540,false,,17460
4,8,0.03125,2285.9,3.875,1049000,false,,270600
4,4,0.015625,2145.2,3.938,16780000,false,,4260000
4,2,0.0078125,2725.8,3.97,268400000,false,,67620000
4,1,0.00390625,2285.7,3.984,4295000000,false,,1078000000
6,128,0.5,3469.7,3.004,65.05,true,2341.4,21.66
6,64,0.25,9611,4.492,4732,true,126939.8,1053
6,32,0.125,3498,5.242,262100,false,,50010
6,16,0.0625,2611,5.622,16780000,false,,2984000
6,8,0.03125,2746.2,5.816,1074000000,false,,184600000
6,4,0.015625,3528.2,5.907,68720000000,false,,11630000000
6,2,0.0078125,3542.3,5.956,4398000000000,false,,738500000000
6,1,0.00390625,3129.7,5.974,281500000000000,false,,47110000000000
